#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1300017J02Rik	F12	10090.ENSMUSP00000035163	10090.ENSMUSP00000021948	0	0	0	0	0.405	0.075	0	0.062	0.439
1300017J02Rik	Tfrc	10090.ENSMUSP00000035163	10090.ENSMUSP00000023486	0.041	0	0	0	0.091	0.766	0.900	0.068	0.977
1300017J02Rik	Ahsg	10090.ENSMUSP00000035163	10090.ENSMUSP00000023583	0	0	0	0	0.413	0	0	0.076	0.435
1300017J02Rik	F2	10090.ENSMUSP00000035163	10090.ENSMUSP00000028681	0	0	0	0	0.567	0.051	0	0.047	0.575
1300017J02Rik	Trf	10090.ENSMUSP00000035163	10090.ENSMUSP00000035158	0	0	0.061	0.959	0.104	0	0.900	0	0.908
1300017J02Rik	Fga	10090.ENSMUSP00000035163	10090.ENSMUSP00000133117	0	0	0	0	0.449	0	0	0.057	0.459
1300017J02Rik	Tfr2	10090.ENSMUSP00000035163	10090.ENSMUSP00000142720	0.041	0	0	0	0.418	0.295	0	0.068	0.584
2610528A11Rik	Hc	10090.ENSMUSP00000136426	10090.ENSMUSP00000028233	0	0	0	0	0	0	0	0.416	0.416
5430427O19Rik	Slc15a3	10090.ENSMUSP00000109609	10090.ENSMUSP00000025646	0	0	0	0	0.104	0.189	0	0.259	0.414
5430427O19Rik	Slc15a4	10090.ENSMUSP00000109609	10090.ENSMUSP00000031367	0	0	0	0	0	0.264	0	0.502	0.618
5430427O19Rik	Tlr7	10090.ENSMUSP00000109609	10090.ENSMUSP00000107787	0	0	0	0	0.281	0	0	0.205	0.404
9530003J23Rik	Defb47	10090.ENSMUSP00000020392	10090.ENSMUSP00000098061	0	0	0	0	0	0	0	0.410	0.410
9930111J21Rik1	Gbp2	10090.ENSMUSP00000095102	10090.ENSMUSP00000132435	0	0	0	0	0.076	0	0	0.457	0.477
A2m	Cfp	10090.ENSMUSP00000032203	10090.ENSMUSP00000001156	0	0	0	0	0.048	0.253	0	0.309	0.465
A2m	Tgfb1	10090.ENSMUSP00000032203	10090.ENSMUSP00000002678	0	0	0	0	0	0.075	0	0.907	0.910
A2m	App	10090.ENSMUSP00000032203	10090.ENSMUSP00000005406	0	0	0	0	0.076	0.075	0	0.703	0.723
A2m	Orm3	10090.ENSMUSP00000032203	10090.ENSMUSP00000006687	0	0	0	0	0.066	0	0	0.675	0.684
A2m	Cd5l	10090.ENSMUSP00000032203	10090.ENSMUSP00000015998	0	0	0	0	0.068	0	0	0.435	0.451
A2m	Il10	10090.ENSMUSP00000032203	10090.ENSMUSP00000016673	0	0	0	0	0.055	0.138	0	0.601	0.646
A2m	Mmp7	10090.ENSMUSP00000032203	10090.ENSMUSP00000018767	0	0	0	0	0	0.052	0.500	0.303	0.640
A2m	Egfr	10090.ENSMUSP00000032203	10090.ENSMUSP00000020329	0	0	0	0	0	0.053	0	0.479	0.485
A2m	Serpina3n	10090.ENSMUSP00000032203	10090.ENSMUSP00000021506	0	0	0	0	0.080	0	0	0.457	0.480
A2m	F12	10090.ENSMUSP00000032203	10090.ENSMUSP00000021948	0	0	0	0	0.059	0.120	0	0.398	0.458
A2m	Clu	10090.ENSMUSP00000032203	10090.ENSMUSP00000022616	0	0	0	0	0.081	0	0	0.765	0.774
A2m	C9	10090.ENSMUSP00000032203	10090.ENSMUSP00000022749	0	0	0	0	0.054	0.212	0	0.282	0.418
A2m	Ahsg	10090.ENSMUSP00000032203	10090.ENSMUSP00000023583	0	0	0	0	0.069	0	0	0.530	0.544
A2m	Kng1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023589	0	0	0	0	0.051	0	0	0.615	0.620
A2m	Hrg	10090.ENSMUSP00000032203	10090.ENSMUSP00000023590	0	0	0	0	0.068	0	0	0.614	0.625
A2m	Serping1	10090.ENSMUSP00000032203	10090.ENSMUSP00000023994	0	0	0	0	0.104	0.068	0	0.711	0.738
A2m	Cfb	10090.ENSMUSP00000032203	10090.ENSMUSP00000025229	0	0	0	0	0.068	0.141	0	0.611	0.661
A2m	Tnf	10090.ENSMUSP00000032203	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.667	0.667
A2m	Il6	10090.ENSMUSP00000032203	10090.ENSMUSP00000026845	0	0	0	0	0.042	0	0	0.686	0.687
A2m	Klkb1	10090.ENSMUSP00000032203	10090.ENSMUSP00000026907	0	0	0	0	0	0.131	0.700	0.506	0.860
