#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Il4	10090.ENSMUSP00000098066	10090.ENSMUSP00000000889	0	0	0	0	0.055	0.042	0	0.707	0.711
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Tgfb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.770	0.770
Actb	Shh	10090.ENSMUSP00000098066	10090.ENSMUSP00000002708	0	0	0	0	0	0	0	0.567	0.567
Actb	Il7r	10090.ENSMUSP00000098066	10090.ENSMUSP00000003981	0	0	0	0	0	0	0	0.432	0.432
Actb	Rhoa	10090.ENSMUSP00000098066	10090.ENSMUSP00000007959	0	0	0	0	0.578	0.068	0.900	0.675	0.985
Actb	Smarcd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000021052	0	0	0	0	0.078	0.257	0.800	0.157	0.869
Actb	Ap3b1	10090.ENSMUSP00000098066	10090.ENSMUSP00000022196	0	0	0	0	0.053	0	0	0.469	0.475
Actb	Bcl6	10090.ENSMUSP00000098066	10090.ENSMUSP00000023151	0	0	0	0	0	0.074	0	0.442	0.462
Actb	Runx1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023673	0	0	0	0	0.064	0	0	0.458	0.470
Actb	Smarcd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023759	0	0	0	0	0.078	0.263	0.800	0.530	0.927
Actb	Phf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000024657	0	0	0	0	0.060	0.263	0.800	0.426	0.909
Actb	Anxa1	10090.ENSMUSP00000098066	10090.ENSMUSP00000025561	0	0	0	0	0.096	0.066	0	0.465	0.509
Actb	Smarca2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025862	0	0	0	0	0.052	0.298	0.650	0.496	0.867
Actb	Il6	10090.ENSMUSP00000098066	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.855	0.855
Actb	Zap70	10090.ENSMUSP00000098066	10090.ENSMUSP00000027291	0	0	0	0	0.073	0.073	0	0.412	0.450
Actb	Il2ra	10090.ENSMUSP00000098066	10090.ENSMUSP00000028111	0	0	0	0	0	0	0	0.484	0.483
Actb	Il1f8	10090.ENSMUSP00000098066	10090.ENSMUSP00000028363	0	0	0	0	0	0	0	0.429	0.429
