#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ace	Tmprss2	10090.ENSMUSP00000001963	10090.ENSMUSP00000000395	0	0	0	0	0.066	0	0	0.759	0.765
Ace	Gm10053	10090.ENSMUSP00000001963	10090.ENSMUSP00000072829	0	0	0	0	0	0	0	0.406	0.406
Ace	Pcsk9	10090.ENSMUSP00000001963	10090.ENSMUSP00000055757	0	0	0	0	0	0	0	0.408	0.408
Ace	Klk1	10090.ENSMUSP00000001963	10090.ENSMUSP00000074659	0	0	0	0	0	0	0	0.408	0.408
Ace	Klk1b1	10090.ENSMUSP00000001963	10090.ENSMUSP00000077879	0	0	0	0	0	0	0	0.412	0.412
Ace	Adam10	10090.ENSMUSP00000001963	10090.ENSMUSP00000063839	0	0	0	0	0.049	0	0	0.432	0.437
Ace	Tll1	10090.ENSMUSP00000001963	10090.ENSMUSP00000070560	0	0	0	0	0.052	0	0	0.445	0.451
Ace	Tll2	10090.ENSMUSP00000001963	10090.ENSMUSP00000025986	0	0	0	0	0.052	0	0	0.451	0.457
Ace	Ctsg	10090.ENSMUSP00000001963	10090.ENSMUSP00000015583	0	0	0	0	0	0	0	0.460	0.460
Ace	F12	10090.ENSMUSP00000001963	10090.ENSMUSP00000021948	0	0	0	0	0	0	0	0.465	0.465
Ace	Ctss	10090.ENSMUSP00000001963	10090.ENSMUSP00000015667	0	0	0	0	0.057	0	0	0.460	0.469
Ace	Klkb1	10090.ENSMUSP00000001963	10090.ENSMUSP00000026907	0	0	0	0	0	0	0	0.474	0.474
Ace	Cpm	10090.ENSMUSP00000001963	10090.ENSMUSP00000020399	0	0	0	0	0.091	0	0	0.446	0.475
Ace	Casp3	10090.ENSMUSP00000001963	10090.ENSMUSP00000147767	0	0	0	0	0	0	0	0.478	0.478
Ace	Ctsl	10090.ENSMUSP00000001963	10090.ENSMUSP00000152169	0	0	0	0	0	0	0	0.484	0.484
Ace	F3	10090.ENSMUSP00000001963	10090.ENSMUSP00000029771	0	0	0	0	0	0	0	0.502	0.502
Ace	Plat	10090.ENSMUSP00000001963	10090.ENSMUSP00000033941	0	0	0	0	0.046	0	0	0.517	0.520
Ace	F2	10090.ENSMUSP00000001963	10090.ENSMUSP00000028681	0	0	0	0	0	0	0	0.621	0.621
Ace	Enpep	10090.ENSMUSP00000001963	10090.ENSMUSP00000029658	0	0	0	0	0.095	0	0	0.640	0.661
Ace	Ece1	10090.ENSMUSP00000001963	10090.ENSMUSP00000099576	0	0	0	0	0.043	0	0	0.670	0.671
Ace	Ece2	10090.ENSMUSP00000001963	10090.ENSMUSP00000003898	0	0	0	0	0	0	0	0.681	0.681
Ace	Atp6ap2	10090.ENSMUSP00000001963	10090.ENSMUSP00000033313	0	0	0	0	0	0	0	0.702	0.702
Ace	Anpep	10090.ENSMUSP00000001963	10090.ENSMUSP00000103015	0	0	0	0	0.132	0	0	0.686	0.716
Ace	Adam17	10090.ENSMUSP00000001963	10090.ENSMUSP00000099087	0	0	0	0	0.083	0	0	0.710	0.723
Ace	Cma1	10090.ENSMUSP00000001963	10090.ENSMUSP00000022834	0	0	0	0	0	0	0	0.736	0.736
Ace	Mmel1	10090.ENSMUSP00000001963	10090.ENSMUSP00000131753	0	0	0	0	0	0	0	0.789	0.789
Ace	Furin	10090.ENSMUSP00000001963	10090.ENSMUSP00000113793	0	0	0	0	0.042	0	0	0.801	0.801
Ace	Klk1b8	10090.ENSMUSP00000001963	10090.ENSMUSP00000072063	0	0	0	0	0.042	0	0	0.803	0.803
Ace	Klk1b5	10090.ENSMUSP00000001963	10090.ENSMUSP00000073964	0	0	0	0	0	0	0	0.803	0.803
Ace	Klk1b9	10090.ENSMUSP00000001963	10090.ENSMUSP00000080133	0	0	0	0	0	0	0	0.804	0.804
Ace	Mme	10090.ENSMUSP00000001963	10090.ENSMUSP00000142205	0	0	0	0	0.065	0	0	0.883	0.886
Ace	Ren1	10090.ENSMUSP00000001963	10090.ENSMUSP00000092135	0	0	0	0	0	0	0	0.941	0.941
Adam10	Ncstn	10090.ENSMUSP00000063839	10090.ENSMUSP00000003550	0	0	0	0	0.061	0.097	0	0.850	0.862
Adam10	Adam19	10090.ENSMUSP00000063839	10090.ENSMUSP00000011400	0	0	0	0.567	0	0	0	0.530	0.530
Adam10	Ctss	10090.ENSMUSP00000063839	10090.ENSMUSP00000015667	0	0	0	0	0.045	0.041	0	0.419	0.422
Adam10	F2	10090.ENSMUSP00000063839	10090.ENSMUSP00000028681	0	0	0	0	0	0	0	0.407	0.407
Adam10	Mmp16	10090.ENSMUSP00000063839	10090.ENSMUSP00000029881	0	0	0	0	0.057	0	0	0.416	0.425
Adam10	Bace1	10090.ENSMUSP00000063839	10090.ENSMUSP00000034591	0	0	0	0	0	0.097	0	0.839	0.849
Adam10	Aph1b	10090.ENSMUSP00000063839	10090.ENSMUSP00000034934	0	0	0	0	0	0.087	0	0.547	0.569
Adam10	Bace2	10090.ENSMUSP00000063839	10090.ENSMUSP00000043918	0	0	0	0	0	0.090	0	0.590	0.611
Adam10	Psenen	10090.ENSMUSP00000063839	10090.ENSMUSP00000044682	0	0	0	0	0.046	0.097	0	0.773	0.787
Adam10	Aph1a	10090.ENSMUSP00000063839	10090.ENSMUSP00000058846	0	0	0	0	0	0.097	0	0.533	0.560
Adam10	Casp3	10090.ENSMUSP00000063839	10090.ENSMUSP00000147767	0	0	0	0	0.052	0	0	0.405	0.412
Adam10	Bak1	10090.ENSMUSP00000063839	10090.ENSMUSP00000077757	0	0	0	0	0	0	0.540	0	0.540
Adam10	Aph1c	10090.ENSMUSP00000063839	10090.ENSMUSP00000130359	0	0	0	0	0	0.087	0	0.543	0.565
Adam10	Mmp14	10090.ENSMUSP00000063839	10090.ENSMUSP00000087119	0	0	0	0	0	0	0	0.591	0.591
Adam10	Adam9	10090.ENSMUSP00000063839	10090.ENSMUSP00000146545	0	0	0	0.582	0.067	0	0	0.596	0.607
Adam10	Furin	10090.ENSMUSP00000063839	10090.ENSMUSP00000113793	0	0	0	0	0	0	0	0.643	0.643
Adam10	Mmel1	10090.ENSMUSP00000063839	10090.ENSMUSP00000131753	0	0	0	0	0	0	0	0.646	0.646
Adam10	Mme	10090.ENSMUSP00000063839	10090.ENSMUSP00000142205	0	0	0	0	0	0.287	0	0.571	0.681
Adam10	Spg7	10090.ENSMUSP00000063839	10090.ENSMUSP00000119552	0	0	0	0	0	0	0.720	0.101	0.737
Adam10	Psen2	10090.ENSMUSP00000063839	10090.ENSMUSP00000106735	0	0	0	0	0.065	0.090	0	0.750	0.768
Adam10	Psen1	10090.ENSMUSP00000063839	10090.ENSMUSP00000098786	0	0	0	0	0.095	0.097	0	0.794	0.817
Adam10	Adam17	10090.ENSMUSP00000063839	10090.ENSMUSP00000099087	0	0	0	0.675	0.061	0	0.900	0.590	0.958
Adam17	Tmprss2	10090.ENSMUSP00000099087	10090.ENSMUSP00000000395	0	0	0	0	0	0	0	0.838	0.838
Adam17	Ncstn	10090.ENSMUSP00000099087	10090.ENSMUSP00000003550	0	0	0	0	0.058	0.090	0	0.722	0.741
Adam17	Adam19	10090.ENSMUSP00000099087	10090.ENSMUSP00000011400	0	0	0	0.558	0.048	0	0	0.542	0.545
Adam17	Ctss	10090.ENSMUSP00000099087	10090.ENSMUSP00000015667	0	0	0	0	0.070	0.053	0	0.451	0.475
Adam17	F2	10090.ENSMUSP00000099087	10090.ENSMUSP00000028681	0	0	0	0	0	0	0	0.446	0.446
Adam17	Mmp16	10090.ENSMUSP00000099087	10090.ENSMUSP00000029881	0	0	0	0	0	0	0	0.412	0.412
Adam17	Bace1	10090.ENSMUSP00000099087	10090.ENSMUSP00000034591	0	0	0	0	0	0.058	0	0.678	0.683
Adam17	Bace2	10090.ENSMUSP00000099087	10090.ENSMUSP00000043918	0	0	0	0	0	0.058	0	0.504	0.512
Adam17	Psenen	10090.ENSMUSP00000099087	10090.ENSMUSP00000044682	0	0	0	0	0.046	0.090	0	0.692	0.709
Adam17	Aph1a	10090.ENSMUSP00000099087	10090.ENSMUSP00000058846	0	0	0	0	0.057	0.076	0	0.391	0.423
Adam17	Mmp14	10090.ENSMUSP00000099087	10090.ENSMUSP00000087119	0	0	0	0	0.087	0	0	0.634	0.652
Adam17	Ren1	10090.ENSMUSP00000099087	10090.ENSMUSP00000092135	0	0	0	0	0.048	0.058	0	0.639	0.648
Adam17	Psen1	10090.ENSMUSP00000099087	10090.ENSMUSP00000098786	0	0	0	0	0.097	0.079	0	0.720	0.747
Adam17	Casp3	10090.ENSMUSP00000099087	10090.ENSMUSP00000147767	0	0	0	0	0.046	0	0	0.408	0.411
Adam17	Mmel1	10090.ENSMUSP00000099087	10090.ENSMUSP00000131753	0	0	0	0	0	0	0	0.423	0.423
Adam17	Casp8	10090.ENSMUSP00000099087	10090.ENSMUSP00000140546	0	0	0	0	0.071	0	0	0.404	0.423
Adam17	Mme	10090.ENSMUSP00000099087	10090.ENSMUSP00000142205	0	0	0	0	0.047	0	0	0.432	0.436
Adam17	Ctsl	10090.ENSMUSP00000099087	10090.ENSMUSP00000152169	0	0	0	0	0.069	0.053	0	0.450	0.474
Adam17	Adam9	10090.ENSMUSP00000099087	10090.ENSMUSP00000146545	0	0	0	0.565	0.057	0	0	0.593	0.600
Adam17	Psen2	10090.ENSMUSP00000099087	10090.ENSMUSP00000106735	0	0	0	0	0.053	0.079	0	0.590	0.611
Adam17	Furin	10090.ENSMUSP00000099087	10090.ENSMUSP00000113793	0	0	0	0	0.061	0	0	0.683	0.690
Adam19	Adam9	10090.ENSMUSP00000011400	10090.ENSMUSP00000146545	0	0	0	0.813	0.048	0	0	0.408	0.412
Adam19	Furin	10090.ENSMUSP00000011400	10090.ENSMUSP00000113793	0	0	0	0	0	0	0	0.435	0.435
Adam9	Ncstn	10090.ENSMUSP00000146545	10090.ENSMUSP00000003550	0	0	0	0	0.051	0	0	0.610	0.614
Adam9	Bace1	10090.ENSMUSP00000146545	10090.ENSMUSP00000034591	0	0	0	0	0.065	0	0	0.519	0.531
Adam9	Bace2	10090.ENSMUSP00000146545	10090.ENSMUSP00000043918	0	0	0	0	0	0	0	0.464	0.464
Adam9	Psenen	10090.ENSMUSP00000146545	10090.ENSMUSP00000044682	0	0	0	0	0.046	0	0	0.533	0.535
Adam9	Mmp14	10090.ENSMUSP00000146545	10090.ENSMUSP00000087119	0	0	0	0	0.106	0	0	0.379	0.422
Adam9	Psen1	10090.ENSMUSP00000146545	10090.ENSMUSP00000098786	0	0	0	0	0.067	0	0	0.457	0.472
Adam9	Psen2	10090.ENSMUSP00000146545	10090.ENSMUSP00000106735	0	0	0	0	0	0	0	0.426	0.426
Adam9	Furin	10090.ENSMUSP00000146545	10090.ENSMUSP00000113793	0	0	0	0	0.079	0	0	0.459	0.480
Adamts2	Comp	10090.ENSMUSP00000040171	10090.ENSMUSP00000003659	0	0	0	0	0.057	0	0	0.399	0.409
Adamts2	Bmp1	10090.ENSMUSP00000040171	10090.ENSMUSP00000022693	0	0	0	0	0.164	0	0	0.642	0.688
Afg3l1	Atp23	10090.ENSMUSP00000001520	10090.ENSMUSP00000128382	0	0	0	0	0.056	0.099	0	0.375	0.422
Afg3l1	Pmpcb	10090.ENSMUSP00000001520	10090.ENSMUSP00000030882	0.042	0	0	0	0.105	0.119	0	0.331	0.427
Afg3l1	Yme1l1	10090.ENSMUSP00000001520	10090.ENSMUSP00000028117	0	0	0.130	0.802	0.043	0.215	0	0.239	0.436
Afg3l1	Zmpste24	10090.ENSMUSP00000001520	10090.ENSMUSP00000053900	0.042	0	0	0	0.282	0.087	0	0.211	0.438
Afg3l1	Pmpca	10090.ENSMUSP00000001520	10090.ENSMUSP00000075762	0.042	0	0	0	0.161	0.104	0	0.368	0.484
Afg3l1	Stoml2	10090.ENSMUSP00000001520	10090.ENSMUSP00000030169	0	0	0	0	0.249	0.304	0	0.197	0.543
Afg3l1	Lonp2	10090.ENSMUSP00000001520	10090.ENSMUSP00000034141	0.062	0	0	0	0.272	0.124	0	0.400	0.593
Afg3l1	Parl	10090.ENSMUSP00000001520	10090.ENSMUSP00000045361	0	0	0	0	0.123	0	0	0.619	0.652
