#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ace2	Ccl2	10090.ENSMUSP00000107890	10090.ENSMUSP00000000193	0	0	0	0	0	0	0	0.668	0.668
Ace2	Il4	10090.ENSMUSP00000107890	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.500	0.500
Ace2	Ccl3	10090.ENSMUSP00000107890	10090.ENSMUSP00000001008	0	0	0	0	0	0	0	0.609	0.609
Ace2	Csf2	10090.ENSMUSP00000107890	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.520	0.520
Ace2	Cd4	10090.ENSMUSP00000107890	10090.ENSMUSP00000024044	0	0	0	0	0	0.085	0	0.783	0.793
Ace2	Tnf	10090.ENSMUSP00000107890	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.743	0.743
Ace2	Il6	10090.ENSMUSP00000107890	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.797	0.797
Ace2	Nrp1	10090.ENSMUSP00000107890	10090.ENSMUSP00000026917	0	0	0	0	0.054	0	0	0.778	0.781
Ace2	Casp1	10090.ENSMUSP00000107890	10090.ENSMUSP00000027015	0	0	0	0	0.041	0	0	0.426	0.426
Ace2	Il17a	10090.ENSMUSP00000107890	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.524	0.524
Ace2	Tlr2	10090.ENSMUSP00000107890	10090.ENSMUSP00000029623	0	0	0	0	0	0.052	0	0.405	0.412
Ace2	F3	10090.ENSMUSP00000107890	10090.ENSMUSP00000029771	0	0	0	0	0	0	0	0.582	0.582
Ace2	Tlr3	10090.ENSMUSP00000107890	10090.ENSMUSP00000034056	0	0	0	0	0.057	0.052	0	0.544	0.557
Ace2	Ccl5	10090.ENSMUSP00000107890	10090.ENSMUSP00000039600	0	0	0	0	0	0	0	0.457	0.457
Ace2	Tlr4	10090.ENSMUSP00000107890	10090.ENSMUSP00000045770	0	0	0	0	0	0.052	0	0.556	0.561
Ace2	Cxcl10	10090.ENSMUSP00000107890	10090.ENSMUSP00000047646	0	0	0	0	0	0	0	0.667	0.667
Ace2	Ifnb1	10090.ENSMUSP00000107890	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.654	0.654
Ace2	Ifng	10090.ENSMUSP00000107890	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.692	0.692
Ace2	Agt	10090.ENSMUSP00000107890	10090.ENSMUSP00000066488	0	0	0	0	0.077	0.413	0.750	0.955	0.993
Ace2	Bsg	10090.ENSMUSP00000107890	10090.ENSMUSP00000070751	0	0	0	0	0	0.085	0	0.879	0.885
Ace2	Il18	10090.ENSMUSP00000107890	10090.ENSMUSP00000151002	0	0	0	0	0.079	0	0	0.532	0.550
Agt	Ccl2	10090.ENSMUSP00000066488	10090.ENSMUSP00000000193	0	0	0	0	0	0	0	0.740	0.740
Agt	Il4	10090.ENSMUSP00000066488	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.677	0.677
Agt	Ccl3	10090.ENSMUSP00000066488	10090.ENSMUSP00000001008	0	0	0	0	0.041	0	0	0.436	0.436
Agt	Cd4	10090.ENSMUSP00000066488	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.555	0.555
Agt	Tnf	10090.ENSMUSP00000066488	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.826	0.826
Agt	Il6	10090.ENSMUSP00000066488	10090.ENSMUSP00000026845	0	0	0	0	0.064	0	0	0.791	0.796
Agt	Casp1	10090.ENSMUSP00000066488	10090.ENSMUSP00000027015	0	0	0	0	0.053	0.046	0	0.478	0.487
Agt	Il17a	10090.ENSMUSP00000066488	10090.ENSMUSP00000027061	0	0	0	0	0.057	0	0	0.555	0.562
Agt	Tlr2	10090.ENSMUSP00000066488	10090.ENSMUSP00000029623	0	0	0	0	0.043	0	0	0.400	0.401
Agt	F3	10090.ENSMUSP00000066488	10090.ENSMUSP00000029771	0	0	0	0	0.057	0	0	0.571	0.578
Agt	Ccl5	10090.ENSMUSP00000066488	10090.ENSMUSP00000039600	0	0	0	0	0	0	0	0.496	0.496
Agt	Tlr4	10090.ENSMUSP00000066488	10090.ENSMUSP00000045770	0	0	0	0	0	0	0	0.775	0.775
Agt	Cxcl10	10090.ENSMUSP00000066488	10090.ENSMUSP00000047646	0	0	0	0	0.054	0	0	0.441	0.448
Agt	Ifng	10090.ENSMUSP00000066488	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.650	0.650
