#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Apoa1	Il10	10090.ENSMUSP00000034588	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.411	0.410
Apoa1	Tnf	10090.ENSMUSP00000034588	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.642	0.642
Apoa1	Il6	10090.ENSMUSP00000034588	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.609	0.609
Apoa1	Ifng	10090.ENSMUSP00000034588	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.412	0.412
Apoa1	Apob	10090.ENSMUSP00000034588	10090.ENSMUSP00000036044	0	0	0	0	0.659	0.337	0.800	0.994	0.999
Apoa1	Apoa2	10090.ENSMUSP00000034588	10090.ENSMUSP00000106953	0	0	0	0	0.843	0.396	0.800	0.998	0.999
Apoa2	Apob	10090.ENSMUSP00000106953	10090.ENSMUSP00000036044	0	0	0	0	0.687	0.121	0.720	0.956	0.996
Apob	Il10	10090.ENSMUSP00000036044	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.458	0.457
Apob	Cd4	10090.ENSMUSP00000036044	10090.ENSMUSP00000024044	0	0	0	0	0	0	0.500	0.412	0.693
Apob	Tnf	10090.ENSMUSP00000036044	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.644	0.644
Apob	Il6	10090.ENSMUSP00000036044	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.743	0.743
Apob	Ifng	10090.ENSMUSP00000036044	10090.ENSMUSP00000063800	0	0	0	0	0.094	0	0	0.440	0.470
Apob	Spp1	10090.ENSMUSP00000036044	10090.ENSMUSP00000084043	0	0	0	0	0	0	0	0.509	0.509
Cd4	Il4	10090.ENSMUSP00000024044	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.943	0.943
Cd4	Il10	10090.ENSMUSP00000024044	10090.ENSMUSP00000016673	0	0	0	0	0.089	0	0	0.959	0.961
Cd4	Il13	10090.ENSMUSP00000024044	10090.ENSMUSP00000020650	0	0	0	0	0.047	0.104	0	0.893	0.900
Cd4	Spp1	10090.ENSMUSP00000024044	10090.ENSMUSP00000084043	0	0	0	0	0	0	0	0.518	0.518
Cd4	Il1a	10090.ENSMUSP00000024044	10090.ENSMUSP00000028882	0	0	0	0	0.065	0.097	0	0.807	0.823
Cd4	Hand2	10090.ENSMUSP00000024044	10090.ENSMUSP00000044983	0	0	0	0	0	0	0	0.840	0.840
