#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Actb	Smarcb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000000925	0	0	0	0	0.083	0.298	0.650	0.585	0.894
Actb	Cdc20	10090.ENSMUSP00000098066	10090.ENSMUSP00000006565	0	0	0	0	0.068	0.079	0	0.394	0.434
Actb	Smarcd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000021052	0	0	0	0	0.078	0.257	0.800	0.157	0.869
Actb	Aurkb	10090.ENSMUSP00000098066	10090.ENSMUSP00000021277	0	0	0	0	0.051	0.072	0	0.502	0.523
Actb	Smarcd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023759	0	0	0	0	0.078	0.263	0.800	0.530	0.927
Actb	Phf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000024657	0	0	0	0	0.060	0.263	0.800	0.426	0.909
Actb	Dusp1	10090.ENSMUSP00000098066	10090.ENSMUSP00000025025	0	0	0	0	0	0.062	0	0.465	0.477
Actb	Smarca2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025862	0	0	0	0	0.052	0.298	0.650	0.496	0.867
Actb	Actl6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000029214	0	0	0	0.867	0.053	0.446	0.800	0.856	0.982
Actb	Smarcd3	10090.ENSMUSP00000098066	10090.ENSMUSP00000030791	0	0	0	0	0.078	0.257	0.800	0.217	0.878
Actb	Bcl7a	10090.ENSMUSP00000098066	10090.ENSMUSP00000031391	0	0	0	0	0	0.094	0.540	0.428	0.740
Actb	Bcl7b	10090.ENSMUSP00000098066	10090.ENSMUSP00000031692	0	0	0	0	0	0.094	0.540	0.087	0.586
Actb	Plk1	10090.ENSMUSP00000098066	10090.ENSMUSP00000033154	0	0	0	0	0.058	0	0	0.538	0.547
Actb	Brd7	10090.ENSMUSP00000098066	10090.ENSMUSP00000034085	0	0	0	0	0	0.263	0.800	0.212	0.873
Actb	Dpf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000054385	0	0	0	0	0.052	0.096	0.800	0.145	0.833
Actb	Ccnb1	10090.ENSMUSP00000098066	10090.ENSMUSP00000071989	0	0	0	0	0.283	0.102	0	0.726	0.809
Actb	Birc5	10090.ENSMUSP00000098066	10090.ENSMUSP00000079124	0	0	0	0	0.063	0	0	0.442	0.455
Actb	Smarcc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000086094	0	0	0	0	0	0.257	0.650	0.583	0.882
Actb	Arid2	10090.ENSMUSP00000098066	10090.ENSMUSP00000093969	0	0	0	0	0	0.195	0.800	0.221	0.863
Actb	Smarca4	10090.ENSMUSP00000098066	10090.ENSMUSP00000096547	0	0	0	0	0.063	0.298	0.650	0.683	0.917
Actb	Cul3	10090.ENSMUSP00000098066	10090.ENSMUSP00000130738	0	0	0	0	0.059	0.050	0	0.440	0.456
