#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ccl2	Cd86	10090.ENSMUSP00000000193	10090.ENSMUSP00000087047	0	0	0	0	0.167	0	0	0.700	0.740
Ccl2	Nfkbia	10090.ENSMUSP00000000193	10090.ENSMUSP00000021413	0	0	0	0	0.193	0	0	0.703	0.750
Ccl2	Ifng	10090.ENSMUSP00000000193	10090.ENSMUSP00000063800	0	0	0	0	0.191	0	0	0.901	0.917
Ccl2	Tnf	10090.ENSMUSP00000000193	10090.ENSMUSP00000025263	0	0	0	0	0.392	0	0	0.930	0.956
Ccl2	Il6	10090.ENSMUSP00000000193	10090.ENSMUSP00000026845	0	0	0	0	0.600	0	0	0.941	0.975
Cd86	Nfkbia	10090.ENSMUSP00000087047	10090.ENSMUSP00000021413	0	0	0	0	0.113	0	0	0.490	0.528
Cd86	Tnf	10090.ENSMUSP00000087047	10090.ENSMUSP00000025263	0	0	0	0	0.211	0	0	0.863	0.887
Cd86	Il6	10090.ENSMUSP00000087047	10090.ENSMUSP00000026845	0	0	0	0	0.136	0	0	0.866	0.880
Cd86	Ifng	10090.ENSMUSP00000087047	10090.ENSMUSP00000063800	0	0	0	0	0.230	0	0	0.899	0.919
Ifng	Nfkbia	10090.ENSMUSP00000063800	10090.ENSMUSP00000021413	0	0	0	0	0.094	0	0	0.707	0.724
Ifng	Tnf	10090.ENSMUSP00000063800	10090.ENSMUSP00000025263	0	0	0	0	0.181	0	0	0.965	0.970
Ifng	Il6	10090.ENSMUSP00000063800	10090.ENSMUSP00000026845	0	0	0	0	0.124	0	0	0.966	0.969
Il6	Nfkbia	10090.ENSMUSP00000026845	10090.ENSMUSP00000021413	0	0	0	0	0.171	0.041	0	0.869	0.887
Il6	Tnf	10090.ENSMUSP00000026845	10090.ENSMUSP00000025263	0	0	0	0	0.301	0	0	0.962	0.972
Nfkbia	Tnf	10090.ENSMUSP00000021413	10090.ENSMUSP00000025263	0	0	0	0	0.285	0.094	0	0.893	0.925
