#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ace	Akt1	10090.ENSMUSP00000001963	10090.ENSMUSP00000001780	0	0	0	0	0	0	0	0.644	0.644
Ace	Pcsk9	10090.ENSMUSP00000001963	10090.ENSMUSP00000055757	0	0	0	0	0	0	0	0.408	0.408
Ace	Adrb2	10090.ENSMUSP00000001963	10090.ENSMUSP00000062256	0	0	0	0	0.043	0	0	0.425	0.426
Ace	Atp2a2	10090.ENSMUSP00000001963	10090.ENSMUSP00000031423	0	0	0	0	0	0	0	0.452	0.452
Ace	Mapk3	10090.ENSMUSP00000001963	10090.ENSMUSP00000051619	0	0	0	0	0.057	0	0	0.510	0.518
Ace	Actb	10090.ENSMUSP00000001963	10090.ENSMUSP00000098066	0	0	0	0	0	0.064	0	0.518	0.529
Ace	Ppara	10090.ENSMUSP00000001963	10090.ENSMUSP00000105049	0	0	0	0	0	0	0	0.536	0.536
Ace	Il10	10090.ENSMUSP00000001963	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.614	0.614
Ace	Adipoq	10090.ENSMUSP00000001963	10090.ENSMUSP00000023593	0	0	0	0	0.122	0	0	0.592	0.626
Actb	Akt1	10090.ENSMUSP00000098066	10090.ENSMUSP00000001780	0	0	0	0	0.079	0.079	0	0.886	0.895
Actb	Cav1	10090.ENSMUSP00000098066	10090.ENSMUSP00000007799	0	0	0	0	0.066	0.219	0	0.632	0.708
Actb	Il10	10090.ENSMUSP00000098066	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.748	0.748
Actb	Rack1	10090.ENSMUSP00000098066	10090.ENSMUSP00000020640	0	0	0	0	0.267	0.212	0	0.406	0.627
Actb	Aurkb	10090.ENSMUSP00000098066	10090.ENSMUSP00000021277	0	0	0	0	0.051	0.072	0	0.502	0.523
Actb	Mapk8	10090.ENSMUSP00000098066	10090.ENSMUSP00000022504	0	0	0	0	0.054	0.042	0	0.682	0.686
Actb	Myc	10090.ENSMUSP00000098066	10090.ENSMUSP00000022971	0	0	0	0	0	0.086	0	0.824	0.832
Actb	Adipoq	10090.ENSMUSP00000098066	10090.ENSMUSP00000023593	0	0	0	0	0	0	0	0.650	0.650
Actb	Dkk1	10090.ENSMUSP00000098066	10090.ENSMUSP00000025803	0	0	0	0	0	0.080	0	0.491	0.511
Actb	Aurka	10090.ENSMUSP00000098066	10090.ENSMUSP00000028997	0	0	0	0	0.051	0.072	0	0.536	0.556
Actb	Atp2a2	10090.ENSMUSP00000098066	10090.ENSMUSP00000031423	0	0	0	0	0.055	0.043	0	0.469	0.478
Actb	Bax	10090.ENSMUSP00000098066	10090.ENSMUSP00000033093	0	0	0	0	0.061	0	0	0.609	0.617
Actb	Mecp2	10090.ENSMUSP00000098066	10090.ENSMUSP00000033770	0	0	0	0	0.075	0	0	0.412	0.432
Actb	Carm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000034703	0	0	0	0	0.053	0.228	0	0.267	0.418
Actb	Stub1	10090.ENSMUSP00000098066	10090.ENSMUSP00000040431	0	0	0	0	0.059	0	0	0.556	0.564
Actb	Mapk3	10090.ENSMUSP00000098066	10090.ENSMUSP00000051619	0	0.002	0	0	0.078	0.093	0	0.854	0.868
Actb	Lrrk2	10090.ENSMUSP00000098066	10090.ENSMUSP00000052584	0	0	0	0	0	0.537	0	0.289	0.657
Actb	Pcsk9	10090.ENSMUSP00000098066	10090.ENSMUSP00000055757	0	0	0	0	0.046	0.090	0	0.555	0.580
Actb	Nog	10090.ENSMUSP00000098066	10090.ENSMUSP00000061427	0	0	0	0	0	0	0	0.459	0.459
Actb	Rock1	10090.ENSMUSP00000098066	10090.ENSMUSP00000069549	0	0	0	0	0.083	0.073	0	0.502	0.540
Actb	Nes	10090.ENSMUSP00000098066	10090.ENSMUSP00000088493	0	0	0	0	0	0.094	0	0.679	0.697
Actb	Ifit2	10090.ENSMUSP00000098066	10090.ENSMUSP00000099890	0	0	0	0	0.052	0.082	0	0.401	0.433
Actb	Arrb2	10090.ENSMUSP00000098066	10090.ENSMUSP00000104208	0	0	0	0	0	0	0	0.476	0.476
Actb	Dact1	10090.ENSMUSP00000098066	10090.ENSMUSP00000117169	0	0	0	0	0	0	0	0.490	0.489
Actb	Park7	10090.ENSMUSP00000098066	10090.ENSMUSP00000101299	0	0	0	0	0.175	0.063	0	0.411	0.504
Actb	Kdm1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000101473	0	0	0	0	0.183	0.048	0	0.432	0.520
Actb	Map2	10090.ENSMUSP00000098066	10090.ENSMUSP00000109646	0	0	0	0	0	0.094	0	0.557	0.581
Actb	Hnrnpk	10090.ENSMUSP00000098066	10090.ENSMUSP00000112104	0	0	0	0	0.335	0.166	0	0.410	0.644
Actb	Cdkn2a	10090.ENSMUSP00000098066	10090.ENSMUSP00000102748	0	0	0	0	0	0.093	0	0.643	0.663
Actb	Ppara	10090.ENSMUSP00000098066	10090.ENSMUSP00000105049	0	0	0	0	0	0.052	0	0.678	0.681
Actb	Cdkn1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000156559	0	0	0	0	0.064	0	0	0.698	0.705
Actb	Itga4	10090.ENSMUSP00000098066	10090.ENSMUSP00000099718	0	0	0	0	0.046	0	0.650	0.389	0.778
Actb	B2m	10090.ENSMUSP00000098066	10090.ENSMUSP00000099534	0	0	0	0	0.124	0.054	0	0.781	0.802
Actb	Gsk3b	10090.ENSMUSP00000098066	10090.ENSMUSP00000110398	0	0	0	0	0.155	0.073	0	0.789	0.820
Adam15	Ptprf	10090.ENSMUSP00000029676	10090.ENSMUSP00000039368	0	0	0	0	0.054	0	0	0.477	0.484
Adipoq	Akt1	10090.ENSMUSP00000023593	10090.ENSMUSP00000001780	0	0	0	0	0	0	0	0.733	0.733
Adipoq	Cav1	10090.ENSMUSP00000023593	10090.ENSMUSP00000007799	0	0	0	0	0.091	0	0	0.541	0.564
Adipoq	Il10	10090.ENSMUSP00000023593	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.807	0.807
Adipoq	Mapk8	10090.ENSMUSP00000023593	10090.ENSMUSP00000022504	0	0	0	0	0	0	0	0.453	0.453
Adipoq	Cdkn1a	10090.ENSMUSP00000023593	10090.ENSMUSP00000156559	0	0	0	0	0	0	0	0.512	0.512
Adipoq	Gsk3b	10090.ENSMUSP00000023593	10090.ENSMUSP00000110398	0	0	0	0	0	0	0	0.512	0.512
Adipoq	Mapk3	10090.ENSMUSP00000023593	10090.ENSMUSP00000051619	0	0	0	0	0	0	0	0.537	0.537
Adipoq	Ppara	10090.ENSMUSP00000023593	10090.ENSMUSP00000105049	0	0	0	0	0.068	0	0	0.850	0.854
Adnp	Kdm1a	10090.ENSMUSP00000085316	10090.ENSMUSP00000101473	0	0	0	0	0.060	0.292	0	0.431	0.588
Adrb2	Akt1	10090.ENSMUSP00000062256	10090.ENSMUSP00000001780	0	0	0	0	0.080	0	0	0.548	0.566
Adrb2	Il10	10090.ENSMUSP00000062256	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.410	0.410
Adrb2	Atp2a2	10090.ENSMUSP00000062256	10090.ENSMUSP00000031423	0	0	0	0	0	0	0	0.479	0.479
Adrb2	Mapk3	10090.ENSMUSP00000062256	10090.ENSMUSP00000051619	0	0	0	0	0	0	0	0.491	0.491
Adrb2	Dab2	10090.ENSMUSP00000062256	10090.ENSMUSP00000079689	0	0	0	0	0.049	0	0.500	0.098	0.533
Adrb2	Usp33	10090.ENSMUSP00000062256	10090.ENSMUSP00000142708	0	0	0	0	0	0.267	0.700	0.304	0.833
Adrb2	Arrb2	10090.ENSMUSP00000062256	10090.ENSMUSP00000104208	0	0	0	0	0.056	0.507	0.700	0.997	0.999
Akt1	Pdgfb	10090.ENSMUSP00000001780	10090.ENSMUSP00000000500	0	0	0	0	0.044	0	0	0.598	0.600
Akt1	Nog	10090.ENSMUSP00000001780	10090.ENSMUSP00000061427	0	0	0	0	0	0	0	0.400	0.400
Akt1	Nfatc4	10090.ENSMUSP00000001780	10090.ENSMUSP00000024179	0	0	0	0	0	0.085	0	0.373	0.402
Akt1	Pin1	10090.ENSMUSP00000001780	10090.ENSMUSP00000034689	0	0	0	0	0.111	0.065	0	0.343	0.406
Akt1	Ralb	10090.ENSMUSP00000001780	10090.ENSMUSP00000004565	0	0	0	0	0.080	0.105	0	0.382	0.447
Akt1	Mecp2	10090.ENSMUSP00000001780	10090.ENSMUSP00000033770	0	0	0	0	0.053	0.045	0	0.456	0.465
Akt1	Lrrk2	10090.ENSMUSP00000001780	10090.ENSMUSP00000052584	0	0	0	0.567	0	0.098	0	0.446	0.478
Akt1	Map2	10090.ENSMUSP00000001780	10090.ENSMUSP00000109646	0	0	0	0	0	0.138	0	0.422	0.481
Akt1	Kdm1a	10090.ENSMUSP00000001780	10090.ENSMUSP00000101473	0	0	0	0	0.066	0.051	0	0.462	0.481
Akt1	B2m	10090.ENSMUSP00000001780	10090.ENSMUSP00000099534	0	0	0	0	0	0	0	0.483	0.483
Akt1	Ctsz	10090.ENSMUSP00000001780	10090.ENSMUSP00000016400	0	0	0	0	0.055	0	0	0.476	0.484
Akt1	Aurka	10090.ENSMUSP00000001780	10090.ENSMUSP00000028997	0	0	0	0.705	0	0.081	0	0.490	0.512
Akt1	Atp2a2	10090.ENSMUSP00000001780	10090.ENSMUSP00000031423	0	0	0	0	0.061	0.076	0	0.508	0.536
Akt1	Dkk1	10090.ENSMUSP00000001780	10090.ENSMUSP00000025803	0	0	0	0	0	0.068	0	0.553	0.565
Akt1	Itga4	10090.ENSMUSP00000001780	10090.ENSMUSP00000099718	0	0	0	0	0.051	0.046	0	0.568	0.574
Akt1	Mapk8	10090.ENSMUSP00000001780	10090.ENSMUSP00000022504	0	0	0	0.579	0	0.094	0	0.578	0.601
Akt1	Dab2	10090.ENSMUSP00000001780	10090.ENSMUSP00000079689	0	0	0	0	0	0.100	0	0.577	0.603
Akt1	Gper1	10090.ENSMUSP00000001780	10090.ENSMUSP00000080370	0	0	0	0	0	0	0	0.610	0.610
Akt1	Nes	10090.ENSMUSP00000001780	10090.ENSMUSP00000088493	0	0	0	0	0.064	0.074	0	0.607	0.629
Akt1	Pcsk9	10090.ENSMUSP00000001780	10090.ENSMUSP00000055757	0	0	0	0	0	0	0	0.641	0.641
Akt1	Bax	10090.ENSMUSP00000001780	10090.ENSMUSP00000033093	0	0	0	0	0.051	0.042	0	0.646	0.651
Akt1	Park7	10090.ENSMUSP00000001780	10090.ENSMUSP00000101299	0	0	0	0	0	0.064	0	0.643	0.652
Akt1	Rack1	10090.ENSMUSP00000001780	10090.ENSMUSP00000020640	0	0	0	0	0.050	0.082	0	0.683	0.699
Akt1	Dvl1	10090.ENSMUSP00000001780	10090.ENSMUSP00000030948	0	0	0	0	0.070	0.095	0	0.696	0.722
Akt1	Disc1	10090.ENSMUSP00000001780	10090.ENSMUSP00000112410	0	0	0	0	0	0	0	0.724	0.724
Akt1	Ppara	10090.ENSMUSP00000001780	10090.ENSMUSP00000105049	0	0	0	0	0.081	0.081	0	0.704	0.728
Akt1	Cdkn2a	10090.ENSMUSP00000001780	10090.ENSMUSP00000102748	0	0	0	0	0	0.095	0	0.716	0.731
Akt1	Il10	10090.ENSMUSP00000001780	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.753	0.753
Akt1	Stub1	10090.ENSMUSP00000001780	10090.ENSMUSP00000040431	0	0	0	0	0.077	0.345	0	0.723	0.818
Akt1	Myc	10090.ENSMUSP00000001780	10090.ENSMUSP00000022971	0	0	0	0	0.041	0.086	0	0.857	0.863
Akt1	Cav1	10090.ENSMUSP00000001780	10090.ENSMUSP00000007799	0	0	0	0	0.070	0	0.500	0.888	0.943
Akt1	Mapk3	10090.ENSMUSP00000001780	10090.ENSMUSP00000051619	0	0	0	0.590	0.165	0.116	0.900	0.471	0.955
Akt1	Cdkn1a	10090.ENSMUSP00000001780	10090.ENSMUSP00000156559	0	0	0	0	0	0.170	0.900	0.818	0.983
Akt1	Gsk3b	10090.ENSMUSP00000001780	10090.ENSMUSP00000110398	0	0	0	0.580	0	0.882	0.900	0.408	0.992
Akt1	Arrb2	10090.ENSMUSP00000001780	10090.ENSMUSP00000104208	0	0	0	0	0.048	0.547	0	0.994	0.997
Arrb2	Cav1	10090.ENSMUSP00000104208	10090.ENSMUSP00000007799	0	0	0	0	0	0.093	0	0.600	0.621
Arrb2	Rack1	10090.ENSMUSP00000104208	10090.ENSMUSP00000020640	0	0	0	0	0	0	0	0.431	0.431
Arrb2	Dvl1	10090.ENSMUSP00000104208	10090.ENSMUSP00000030948	0	0	0	0	0.042	0.095	0	0.568	0.592
Arrb2	Atp2a2	10090.ENSMUSP00000104208	10090.ENSMUSP00000031423	0	0	0	0	0	0	0	0.565	0.565
Arrb2	Mapk3	10090.ENSMUSP00000104208	10090.ENSMUSP00000051619	0	0	0	0	0.079	0.246	0.900	0.681	0.974
Arrb2	Dab2	10090.ENSMUSP00000104208	10090.ENSMUSP00000079689	0	0	0	0	0.064	0	0.500	0.456	0.723
Arrb2	Gper1	10090.ENSMUSP00000104208	10090.ENSMUSP00000080370	0	0	0	0	0	0	0	0.424	0.424
Arrb2	Itga4	10090.ENSMUSP00000104208	10090.ENSMUSP00000099718	0	0	0	0	0.069	0	0	0.410	0.428
Arrb2	Dact1	10090.ENSMUSP00000104208	10090.ENSMUSP00000117169	0	0	0	0	0	0	0	0.421	0.421
Arrb2	Disc1	10090.ENSMUSP00000104208	10090.ENSMUSP00000112410	0	0	0	0	0	0	0	0.537	0.537
Arrb2	Usp33	10090.ENSMUSP00000104208	10090.ENSMUSP00000142708	0	0	0	0	0	0.413	0.500	0.302	0.777
Arrb2	Gsk3b	10090.ENSMUSP00000104208	10090.ENSMUSP00000110398	0	0	0	0	0	0.309	0	0.714	0.794
Atp2a2	Atp2a3	10090.ENSMUSP00000031423	10090.ENSMUSP00000021142	0	0	0.051	0.978	0	0.065	0.900	0.058	0.905
Atp2a2	Gsk3b	10090.ENSMUSP00000031423	10090.ENSMUSP00000110398	0	0	0	0	0.048	0.076	0	0.378	0.405
Atp2a2	Mapk3	10090.ENSMUSP00000031423	10090.ENSMUSP00000051619	0	0	0	0	0.066	0.077	0	0.406	0.444
Aurka	Aurkb	10090.ENSMUSP00000028997	10090.ENSMUSP00000021277	0	0	0.061	0.958	0.582	0.114	0.540	0.128	0.835
Aurka	Myc	10090.ENSMUSP00000028997	10090.ENSMUSP00000022971	0	0	0	0	0.128	0.059	0	0.896	0.907
Aurka	Cdkn2a	10090.ENSMUSP00000028997	10090.ENSMUSP00000102748	0	0	0	0	0.101	0.059	0	0.453	0.497
Aurka	Ppp1r2	10090.ENSMUSP00000028997	10090.ENSMUSP00000060118	0	0	0	0	0	0	0	0.528	0.528
