#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abl1	Ccnd2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000188	0	0	0	0	0	0.072	0.400	0.234	0.536
Abl1	Ccl2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000193	0	0	0	0	0.081	0	0	0.393	0.418
Abl1	Il4	10090.ENSMUSP00000075167	10090.ENSMUSP00000000889	0	0	0	0	0	0.094	0	0.486	0.514
Abl1	Akt1	10090.ENSMUSP00000075167	10090.ENSMUSP00000001780	0	0	0	0.577	0.066	0	0	0.525	0.537
Abl1	Hck	10090.ENSMUSP00000075167	10090.ENSMUSP00000003370	0	0	0.072	0.877	0.056	0.111	0	0.343	0.420
Abl1	Mapk14	10090.ENSMUSP00000075167	10090.ENSMUSP00000004990	0	0	0	0.617	0.077	0.116	0.500	0.216	0.637
Abl1	Igf1r	10090.ENSMUSP00000075167	10090.ENSMUSP00000005671	0	0	0	0.604	0.052	0	0	0.489	0.494
Abl1	Crkl	10090.ENSMUSP00000075167	10090.ENSMUSP00000006293	0	0	0	0.596	0.044	0.560	0.900	0.360	0.969
Abl1	Cdk4	10090.ENSMUSP00000075167	10090.ENSMUSP00000006911	0	0	0	0.612	0.080	0.104	0.400	0.474	0.705
Abl1	Ctnnb1	10090.ENSMUSP00000075167	10090.ENSMUSP00000007130	0	0	0	0	0.092	0.138	0.500	0.543	0.797
Abl1	Cav1	10090.ENSMUSP00000075167	10090.ENSMUSP00000007799	0	0	0	0	0	0.062	0	0.549	0.558
Abl1	Pten	10090.ENSMUSP00000075167	10090.ENSMUSP00000013807	0	0	0	0	0.047	0.091	0	0.501	0.530
Abl1	Il3	10090.ENSMUSP00000075167	10090.ENSMUSP00000019058	0	0	0	0	0	0	0	0.459	0.459
Abl1	Egfr	10090.ENSMUSP00000075167	10090.ENSMUSP00000020329	0	0	0	0.591	0	0.281	0	0.380	0.535
Abl1	Mdm2	10090.ENSMUSP00000075167	10090.ENSMUSP00000020408	0	0	0	0	0.052	0.196	0	0.505	0.590
Abl1	Tert	10090.ENSMUSP00000075167	10090.ENSMUSP00000022104	0	0	0	0	0.042	0.088	0	0.529	0.553
Abl1	Mapk8	10090.ENSMUSP00000075167	10090.ENSMUSP00000022504	0	0	0	0.582	0	0.094	0	0.432	0.463
Abl1	Myc	10090.ENSMUSP00000075167	10090.ENSMUSP00000022971	0	0	0	0	0.068	0.073	0	0.519	0.548
Abl1	Prkdc	10090.ENSMUSP00000075167	10090.ENSMUSP00000023352	0	0	0	0	0.061	0.099	0	0.622	0.652
Abl1	Hcls1	10090.ENSMUSP00000075167	10090.ENSMUSP00000023531	0	0	0	0	0.082	0.095	0	0.483	0.533
Abl1	Tnf	10090.ENSMUSP00000075167	10090.ENSMUSP00000025263	0	0	0	0	0	0.071	0	0.431	0.448
Abl1	Smad4	10090.ENSMUSP00000075167	10090.ENSMUSP00000025393	0	0	0	0	0.121	0.095	0	0.374	0.459
Abl1	Tlx1	10090.ENSMUSP00000075167	10090.ENSMUSP00000026236	0	0	0	0	0	0.041	0	0.446	0.446
Abl1	Cdk2	10090.ENSMUSP00000075167	10090.ENSMUSP00000026416	0	0	0	0.621	0.077	0.104	0	0.471	0.524
Abl1	Hras	10090.ENSMUSP00000075167	10090.ENSMUSP00000026572	0	0	0	0	0.072	0.105	0	0.611	0.649
Abl1	Il6	10090.ENSMUSP00000075167	10090.ENSMUSP00000026845	0	0	0	0	0.077	0	0	0.396	0.419
Abl1	Epha4	10090.ENSMUSP00000075167	10090.ENSMUSP00000027451	0	0	0	0.615	0.071	0.230	0.900	0.465	0.956
Abl1	Notch1	10090.ENSMUSP00000075167	10090.ENSMUSP00000028288	0	0	0	0	0.053	0.098	0	0.487	0.524
Abl1	Mdk	10090.ENSMUSP00000075167	10090.ENSMUSP00000028672	0	0	0	0	0	0.044	0	0.479	0.480
Abl1	Pik3ca	10090.ENSMUSP00000075167	10090.ENSMUSP00000029201	0	0	0	0	0.064	0.084	0	0.475	0.511
Abl1	Nras	10090.ENSMUSP00000075167	10090.ENSMUSP00000029445	0	0	0	0	0.081	0.105	0	0.526	0.576
Abl1	Egf	10090.ENSMUSP00000075167	10090.ENSMUSP00000029653	0	0	0	0	0	0	0	0.434	0.434
Abl1	Nbn	10090.ENSMUSP00000075167	10090.ENSMUSP00000029879	0	0	0	0	0.043	0	0.500	0.171	0.568
Abl1	Kras	10090.ENSMUSP00000075167	10090.ENSMUSP00000032399	0	0	0	0	0.074	0.105	0	0.615	0.653
Abl1	Nckap1l	10090.ENSMUSP00000075167	10090.ENSMUSP00000035400	0	0	0	0	0	0.287	0.400	0.181	0.619
Abl1	Crlf2	10090.ENSMUSP00000075167	10090.ENSMUSP00000036326	0	0	0	0	0	0	0	0.474	0.474
Abl1	Rac2	10090.ENSMUSP00000075167	10090.ENSMUSP00000036384	0	0	0	0	0.080	0.105	0.900	0.227	0.927
Abl1	Ntrk3	10090.ENSMUSP00000075167	10090.ENSMUSP00000037909	0	0	0	0.638	0	0.111	0.900	0.134	0.916
Abl1	Irs2	10090.ENSMUSP00000075167	10090.ENSMUSP00000038514	0	0	0	0	0	0.098	0	0.436	0.470
Abl1	Ripk2	10090.ENSMUSP00000075167	10090.ENSMUSP00000038833	0	0	0	0.582	0.090	0.052	0	0.364	0.403
Abl1	Lyn	10090.ENSMUSP00000075167	10090.ENSMUSP00000038838	0	0	0.070	0.877	0.057	0.106	0	0.327	0.402
Abl1	Brk1	10090.ENSMUSP00000075167	10090.ENSMUSP00000041644	0	0	0	0	0	0	0.400	0.170	0.480
